Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure,Using materials creatively,Physical prototyping,Digital prototyping
1,NA,2.589498807,4.809069212,NA,-2.207637232,NA,4.653937947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
944252,2.016706444,-7.14797136,-5.334128878,-3.042959427,4.307875895,1.778042959,6.38424821,2.040572792,-6.813842482,-7.14797136,-5.238663484,-2.661097852,4.116945107,5.739856802,4.307875895,6.933174224,1.682577566,4.23627685,1.992840095,6.69451074,-7.243436754,-5.047732697,-4.856801909,-2.756563246,1.61097852,3.878281623,-7.219570406,4.212410501,-3.090692124,-4.809069212,7.553699284,-3.377088305,-2.088305489,7.291169451,NA,NA,NA
953758,-1.849642005,7.45823389,2.23150358,3.854415274,3.663484487,-0.799522673,-3.92601432,-8.8424821,-6.789976134,5.190930788,5.262529833,0.22673031,-3.472553699,-7.3150358,-7.219570406,-7.720763723,-4.952267303,-1.133651551,0.22673031,-4.403341289,-1.945107399,6.288782816,-3.544152745,0.775656325,1.109785203,-0.799522673,-0.513126492,6.479713604,-5.548926014,-6.813842482,-4.546539379,3.281622912,2.756563246,2.85202864,NA,NA,NA
1028243,3.878281623,2.303102625,3.973747017,4.021479714,5.883054893,5.978520286,-1.706443914,7.410501193,-0.274463007,-4.761336516,5.214797136,7.45823389,7.887828162,5.692124105,-0.322195704,-1.372315036,3.210023866,8.317422434,3.735083532,5.644391408,7.887828162,-1.706443914,1.443914081,1.109785203,7.792362768,-8.293556086,-4.856801909,-6.002386635,-7.482100239,-7.291169451,4.260143198,-1.324582339,-3.663484487,-5.525059666,NA,NA,NA
1029440,1.658711217,2.947494033,-2.279236277,-6.455847255,-4.928400955,4.594272076,3.30548926,-2.470167064,2.350835322,7.673031026,3.92601432,-5.668257757,-0.131264916,0.871121718,2.589498807,-4.140811456,-0.680190931,-0.560859189,6.312649165,-3.210023866,-7.386634845,-3.353221957,-2.23150358,0.751789976,-1.897374702,-4.737470167,1.348448687,4.498806683,1.324582339,6.408114558,0.871121718,3.162291169,-5.143198091,-2.136038186,NA,NA,NA
1035571,-7.219570406,-4.164677804,1.181384248,6.360381862,2.875894988,2.613365155,1.276849642,5.930787589,6.097852029,4.665871122,6.38424821,6.766109785,4.976133652,3.711217184,6.599045346,3.472553699,-4.832935561,5.644391408,1.945107399,4.737470167,7.14797136,3.042959427,-1.968973747,-5.501193317,-2.326968974,-8.412887828,-2.183770883,0.513126492,-0.489260143,6.622911695,-3.162291169,-2.637231504,0.990453461,6.861575179,NA,NA,NA
1107838,2.572674419,-3.561046512,-2.136627907,-2.863372093,-3.531976744,1.933139535,-2.369186047,-0.799418605,2.543604651,0.654069767,-6.148255814,-5.450581395,-0.944767442,-2.223837209,-0.130813953,5.625,3.764534884,6.119186047,0.566860465,-2.601744186,1.002906977,4.084302326,5.450581395,2.514534884,2.10755814,-1.380813953,-4.404069767,-7.252906977,-4.375,-5.799418605,3.561046512,4.229651163,3.793604651,0.712209302,NA,NA,NA
1504349,-0.393794749,3.735083532,-3.329355609,-7.124105012,6.885441527,-0.393794749,6.909307876,-5.501193317,7.243436754,1.92124105,0.84725537,-0.465393795,7.625298329,1.133651551,-2.422434368,4.045346062,-0.369928401,1.181384248,-5.119331742,3.806682578,5.190930788,5.357995227,-0.823389021,-7.696897375,7.649164678,1.491646778,2.589498807,-2.971360382,1.062052506,-3.878281623,6.193317422,2.54176611,-1.873508353,5.76372315,NA,NA,NA
1509770,-4.307875895,-0.298329356,0.250596659,1.849642005,5.501193317,2.708830549,0.513126492,-1.1575179,-5.906921241,0.84725537,3.735083532,1.229116945,-4.498806683,-4.427207637,-1.372315036,1.276849642,3.424821002,-0.990453461,-1.801909308,-1.706443914,-4.474940334,-2.971360382,4.260143198,-3.30548926,-8.412887828,-8.508353222,-2.255369928,-2.255369928,-0.369928401,-0.250596659,-4.976133652,-2.112171838,0.871121718,-3.472553699,NA,NA,NA
1509852,3.61575179,4.02148117,3.926015776,-4.188842773,5.906922698,1.539379475,4.689738927,4.618139882,-2.422732988,-5.62082368,1.252983294,2.828162291,3.162291169,2.136038186,0.08353222,-0.155131265,-0.202863962,-2.804594563,0.417661098,-2.207935852,-3.258055184,-2.112470458,-1.754475232,5.548927471,5.883056349,-8.007458525,-0.632756855,-3.616050411,-4.379773561,-0.370227022,0.775656325,5.190932244,1.562947203,5.167065896,NA,NA,NA
1526139,1.443914081,-1.825775656,-2.613365155,2.23150358,3.902147971,5.62052506,3.472553699,7.00477327,-4.23627685,-7.028639618,-0.584725537,-5.978520286,7.434367542,0.584725537,-6.097852029,-3.544152745,3.830548926,7.076372315,-7.195704057,0.465393795,1.014319809,-1.801909308,4.952267303,-7.291169451,7.124105012,-2.350835322,0.704057279,-8.126491647,-8.866348449,-8.723150358,0.513126492,2.422434368,0.799522673,0.656324582,NA,NA,NA
1531673,2.637231504,6.145584726,0.202863962,0.704057279,4.140811456,2.350835322,4.976133652,3.591885442,3.591885442,3.30548926,-1.968973747,0.560859189,4.427207637,2.6849642,3.424821002,2.875894988,3.949880668,3.066825776,-1.038186158,3.210023866,-2.303102625,0.322195704,1.252983294,-3.472553699,0.274463007,-6.861575179,-1.515513126,-0.560859189,0.107398568,-2.040572792,-2.446300716,-4.952267303,-2.255369928,3.663484487,NA,NA,NA
1557143,6.575178998,2.565632458,6.050119332,3.233890215,-0.53699284,6.455847255,-8.174224344,-4.522673031,4.665871122,0.608591885,1.181384248,0.823389021,6.408114558,-2.875894988,-5.548926014,-5.835322196,2.732696897,1.205250597,-2.040572792,0.894988067,2.85202864,4.904534606,-0.155131265,-4.785202864,5.167064439,5.811455847,1.682577566,-3.042959427,-2.446300716,-1.945107399,5.715990453,-7.720763723,-6.885441527,4.522673031,NA,NA,NA
1563043,6.69451074,6.169451074,2.6849642,7.028639618,5,3.806682578,4.642004773,4.260143198,0.08353222,-3.496420048,7.601431981,1.873508353,5.787589499,2.159904535,3.806682578,5.31026253,3.806682578,0.035799523,7.720763723,1.730310263,3.281622912,-2.064439141,-2.255369928,4.737470167,6.360381862,-2.708830549,-3.568019093,-2.923627685,0.465393795,-1.038186158,1.46778043,-4.37947494,3.92601432,-5,NA,NA,NA
