Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure,Using materials creatively,Physical prototyping,Digital prototyping
944252,1.109785931,3.066826504,1.085919583,1.443914809,3.520285668,5.071598317,7.124104284,5.548925286,3.019093807,7.816228389,1.062053234,1.252984022,3.758949152,5.548925286,4.737469439,1.014320537,4.570405,7.195703329,-7.744629343,3.210024595,-7.577564904,5.119331014,8.031025525,-5.453459892,1.27685037,1.157518628,4.021478985,6.789975405,3.353221229,5.668257028,4.307875167,-5.238662756,3.615751062,5.548925286,1.062053234,3.066826504,4.307875167
953758,2.207637232,7.195704057,-0.823389021,1.443914081,-0.441527446,-2.6849642,-2.589498807,-8.269689737,2.040572792,7.553699284,4.427207637,1.324582339,-0.035799523,-4.665871122,-7.840095465,-0.84725537,-0.560859189,-1.92124105,5.859188544,0.513126492,4.355608592,3.758949881,-5.357995227,-3.329355609,-7.14797136,-6.336515513,4.498806683,3.353221957,-3.448687351,-2.303102625,0.799522673,2.350835322,2.326968974,4.737470167,6.789976134,6.264916468,2.875894988
1028243,3.782815501,1.5871129,4.212409773,3.63961741,5.78758877,5.835321467,-0.608591157,7.124104284,2.064439869,-5.525058938,4.642004045,7.696896646,8.699283281,3.63961741,6.121717649,-1.038185429,3.448686622,7.79236204,6.312648436,6.360381133,6.264915739,5.357994498,3.544152016,1.014320537,8.126490918,-5.715989725,0.011933903,-0.847254642,-2.374700942,-1.372314307,7.17183698,-0.990452732,-0.799521945,-5.477326241,4.26014247,4.164677076,3.782815501
1029440,1.468023256,4.287790698,-1.845930233,-5.043604651,-3.212209302,4.113372093,4.549418605,-4.636627907,2.340116279,5.915697674,2.747093023,-3.561046512,0.654069767,-0.654069767,5.39244186,-3.473837209,-0.276162791,0.450581395,5.712209302,-2.805232558,-5.85755814,1.787790698,4.287790698,-0.712209302,-4.14244186,-4.287790698,0.712209302,5.74127907,6.177325581,6.061046512,-2.078488372,-3.212209302,-3.706395349,-4.927325581,4.433139535,5.74127907,-5.159883721
1035571,5.190930788,5.286396181,6.264916468,3.138424821,4.331742243,4.307875895,1.229116945,-2.923627685,1.085918854,-4.355608592,1.897374702,-5.548926014,-1.229116945,-0.871121718,2.112171838,-3.090692124,-5.190930788,3.591885442,1.372315036,5.381861575,0.775656325,-5.023866348,1.420047733,-1.778042959,-4.045346062,-3.042959427,-1.563245823,-0.059665871,0.966587112,5.167064439,2.54176611,-3.233890215,-5.477326969,5.238663484,-2.589498807,-4.403341289,0.393794749
1504349,3.568019093,-0.298329356,2.422434368,-0.298329356,2.661097852,1.348448687,7.028639618,-4.355608592,1.205250597,1.563245823,1.706443914,-2.517899761,5.644391408,-0.823389021,-2.326968974,3.019093079,0.656324582,0.417661098,-4.474940334,-2.326968974,6.455847255,1.539379475,2.947494033,-4.069212411,3.92601432,3.090692124,-0.704057279,3.019093079,-2.780429594,-3.997613365,3.639618138,2.565632458,-0.704057279,5.286396181,-4.880668258,-4.164677804,-5
1509770,-4.474940334,3.210023866,0.656324582,1.252983294,3.472553699,6.575178998,1.30071599,0.346062053,-3.424821002,3.663484487,4.355608592,2.255369928,-3.162291169,1.205250597,0.178997613,3.162291169,3.472553699,-0.250596659,-0.131264916,-3.066825776,-1.730310263,-1.587112172,1.372315036,-1.730310263,0.894988067,-5.31026253,0.393794749,1.873508353,-1.778042959,6.217183771,-4.116945107,-3.949880668,4.403341289,4.069212411,-0.22673031,3.61575179,0.441527446
1509852,3.544152016,4.188544881,4.427208366,-3.234188107,6.026253712,1.587111443,4.713604547,4.66587185,-2.374999563,-4.928698847,1.443913353,2.923626957,3.305488532,2.326968245,0.178996885,-0.059666599,-0.083532948,-2.923925577,0.274462279,-2.184068775,-3.04325732,-2.184068775,0.10739784,5.644392136,6.742244165,-5.883651406,-3.80698047,-3.80698047,-5.81175374,0.083531491,-3.902445864,1.897373973,6.957041301,7.386635573,1.324581611,2.088304761,1.849641276
1526139,2.99522673,-8.031026253,3.090692124,6.336515513,3.042959427,5.143198091,-5.501193317,6.193317422,-2.947494033,-6.69451074,0.727923628,3.711217184,4.952267303,0.656324582,0.799522673,1.276849642,1.324582339,4.976133652,-3.019093079,6.145584726,-3.233890215,3.591885442,6.07398568,6.38424821,3.162291169,-6.575178998,3.711217184,-3.973747017,4.737470167,3.830548926,0.84725537,1.897374702,6.551312649,3.210023866,-8.007159905,-3.61575179,0.823389021
1531673,0.107399296,5.310261801,-0.322194976,0.274463736,3.615751062,1.921241778,3.926013591,2.279237005,2.398568747,6.885440799,2.326969702,4.045345334,7.315035071,4.498805954,5.667959864,0.775657053,3.28162364,-1.706443186,-2.064438412,2.159905263,0.107399296,0.417661826,6.455846527,-0.25059593,2.398568747,2.374702399,3.233890943,1.968974475,2.255370657,3.448686622,3.353221229,5.572791634,3.496419319,-1.086216747,-1.778042231,-0.727922899,2.231504308
1557143,5.715990453,-2.708830549,5.811455847,3.162291169,-5.477326969,-7.434367542,3.138424821,-6.193317422,-4.68973747,7.291169451,4.904534606,1.229116945,6.07398568,4.809069212,-4.856801909,-3.30548926,2.23150358,-3.687350835,-6.837708831,-0.990453461,3.591885442,-0.131264916,1.348448687,-3.806682578,3.496420048,5.692124105,-5.883054893,3.544152745,-5.262529833,6.670644391,-0.059665871,-0.322195704,2.780429594,1.038186158,-4.355608592,-0.894988067,0.918854415
1563043,0.751789976,2.947494033,2.398568019,6.599045346,6.861575179,5.023866348,1.61097852,4.594272076,-0.155131265,-4.116945107,8.150357995,2.875894988,2.947494033,0.751789976,-0.250596659,1.109785203,4.069212411,1.252983294,-0.489260143,3.090692124,6.288782816,5.167064439,3.544152745,-0.704057279,-1.61097852,-2.350835322,-2.947494033,-4.665871122,-1.825775656,-5.883054893,-1.945107399,-1.754176611,-4.069212411,6.193317422,1.46778043,4.451073986,3.997613365
