Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure,Using materials creatively,Physical prototyping,Digital prototyping
944252,7.892720307,7.923371764,-1.241379661,5.18821804,5.869731684,8.161398935,8.38362069,5.693486239,-0.942528385,5.524904098,3.67863973,-2.957855458,3.778256822,3.808907695,-0.796934983,1.762930918,1.869731918,2.130267848,7.218869381,-2.904214676,5.862547776,-2.881227106,6.766762569,7.180555205,-4.896551841,6.475574596,6.812260653,4.659003481,7.0272985,6.137930918,5.287835132,6.160919657,-4.650863121,2.199712293,5.141762335,2.681992922,3.938697435
953758,8.495297806,2.151253918,8.315047022,6.955329154,7.413793103,5.583855799,2.437304075,8.88322884,2.068965517,2.840909091,4.521943574,4.760971787,2.805642633,4.737460815,8.142633229,3.867554859,5.26645768,4.094827586,6.120689655,6.453761755,8.667711599,7.840909091,8.205329154,6.720219436,6.551724138,3.248432602,5.180250784,7.018025078,8.385579937,8.311128527,8.236677116,6.469435737,4.169278997,3.593260188,5.086206897,4.00862069,5.031347962
1028243,4.472169492,6.153550981,6.069337695,5.831094401,4.211372478,4.587332639,8.725527948,8.641315248,4.794626071,7.934741352,2.015355672,1.624040659,8.426343804,5.923224685,5.224567787,7.865882917,4.863723491,5.432101376,8.149952367,6.222888558,6.675864309,4.633397196,4.065499626,-1.16314791,4.242082182,-1.29366591,-0.802303614,3.029031296,8.433781659,8.349568372,6.690979004,5.723848251,6.215211718,5.247600651,8.426343804,7.036468447,5.570297388
1029440,5.991902834,2.190662955,3.166751012,7.057818826,6.373987854,4.556553644,7.111589069,0.719256073,7.525303644,3.643092105,0.327682186,1.749114372,2.927631579,-0.14486336,1.883856275,1.038081984,4.686234818,8.071229757,7.427884615,4.922191296,3.752530364,4.485703441,-1.177884615,1.033021255,5.167004049,-3.128162955,3.799342105,3.925227733,4.82034413,0.168901822,6.651062753,8.112980769,3.987854251,3.384994939,5.980516194,2.988992915,6.313259109
1035571,2.65625,4.321289063,-1.982421875,3.198242188,1.89453125,5.200195313,7.412109375,6.772460938,4.375,5.375976563,2.080078125,3.784179688,2.87109375,5.981445313,2.958984375,4.584960938,6.7578125,-0.991210938,-2.138671875,1.518554688,1.07421875,2.192382813,-0.673828125,6.342773438,1.25,-2.631835938,0.869140625,2.924804688,-2.28515625,-1.948242188,3.154296875,2.163085938,1.6015625,-2.827148438,-0.537109375,-0.356445313,-1.03515625
1504349,6.427104723,8.136550308,7.792607803,-3.844969199,6.81724846,6.309034908,3.952772074,7.797741273,8.39835729,3.126283368,4.630390144,5.066735113,7.104722793,5.69301848,7.895277207,4.676591376,6.960985626,1.894250513,0.441478439,-0.272073922,7.967145791,2.366529774,4.897330595,6.853182752,7.002053388,7.602669405,6.478439425,6.709445585,8.131416838,8.157084189,7.484599589,7.51026694,6.673511294,7.766940452,-4.527720739,-5.651950719,3.901437372
1509770,6.876190476,8.728571429,4.104761905,-3.376190476,5.942857143,6.461904762,8.885714286,8.185714286,9.2,4.347619048,10,9.119047619,8.076190476,8.138095238,10,5.557142857,3.676190476,1.680952381,6.276190476,2.223809524,-0.380952381,9.052380952,10,10,10,9.604761905,9.247619048,5.119047619,2.819047619,4.747619048,6.714285714,2.776190476,8.971428571,5.985714286,4.714285714,9.995238095,2.552380952
1509852,9.210526316,0.067669288,6.300751536,9.075188314,8.466165872,8.458646617,2.699248235,-3.887217242,8.36137241,1.88721793,5.112782529,1.345864776,7.278195145,4.037594329,6.849623945,3.045113356,4.954887333,3.781954543,8.3609026,6.624060036,0.714755524,1.721804626,8.293233312,5.390977788,6.360902141,-1.293233427,8.624060495,5.383458532,8.796992481,8.902725564,9.421052861,8.925282184,6.060150261,6.278196062,9.052631694,9.647086581,9.752349854
1526139,4.367201426,8.09714795,-4.180035651,6.002673797,-0.570409982,-0.61942959,7.281639929,-4.817290553,7.896613191,-6.76916221,-4.679144385,8.070409982,-7.023172906,-0.61942959,3.89483066,-1.359180036,2.01426025,-3.917112299,3.734402852,-1.270053476,2.56684492,3.979500891,1.399286988,2.811942959,-4.86631016,-3.596256684,0.989304813,5.646167558,5.276292335,2.981283422,7.673796791,-3.034759358,-2.941176471,-2.419786096,-4.607843137,1.546345811,8.983957219
1531673,2.142857748,2.134920756,6.94444505,6.65873028,7.246031988,5.571428935,0.444444323,3.373016479,4.476190597,1.015872653,4.849206228,4.682540288,5.468254089,4.785713922,6.365079728,3.396825034,2.833333697,6.039682419,6.825397431,6.563492427,-0.825396946,0.992064098,1.301587423,8.087797619,5.698412335,2.35714322,3.976190355,6.214285351,4.341270205,5.087301466,2.698413304,4.000000121,4.587301224,8.70634957,6.396825276,1.746032352,6.896825518
